Loan_ID,Loan_Amount,Loan_Term,Annual_Income,Credit_Score,Employment_Length,Loan_Status,Loan_Issue_Date
LN00133,18412,36,197857,639,2,Default,2011-08-14
LN00134,34270,60,56973,623,24,Approved,2014-07-26
LN00135,7910,36,107091,456,29,Approved,2013-07-22
LN00136,46453,60,157161,730,26,Approved,2022-11-22
LN00137,26446,60,82235,706,15,Approved,2021-08-18
LN00138,1206,12,49400,457,14,Default,2019-08-25
LN00139,22518,24,166477,484,17,Approved,2016-03-13
LN00140,23361,60,137240,790,2,Approved,2023-01-07
LN00141,24419,60,72763,835,13,Approved,2020-07-30
LN00142,49702,12,181281,656,0,Approved,2022-01-23
LN00143,42523,24,168496,661,6,Approved,2021-08-15
LN00144,46151,48,126810,523,1,Approved,2019-08-29
LN00145,23403,48,109523,503,9,Approved,2019-03-01
LN00146,19141,24,129955,307,23,Approved,2018-04-07
LN00147,15820,36,171628,771,24,Default,2013-04-19
LN00148,41342,12,113137,471,15,Approved,2020-08-12
LN00149,7374,24,170402,395,11,Approved,2016-03-01
LN00150,2678,48,154308,605,26,Approved,2022-06-26
LN00151,34827,60,50312,557,29,Approved,2012-08-31
LN00152,17198,48,133687,773,17,Default,2022-02-09
LN00153,10914,60,172263,599,5,Approved,2021-08-15
LN00154,28890,12,129602,764,26,Approved,2013-07-24
LN00155,23299,60,56640,627,16,Approved,2020-12-22
LN00156,44585,24,120171,409,7,Approved,2010-02-04
LN00157,44689,60,82293,428,20,Approved,2010-01-01
LN00158,43557,36,134124,436,8,Approved,2016-11-20
LN00159,45020,24,187760,838,18,Approved,2017-04-04
LN00160,3693,12,105802,463,1,Approved,2015-04-25
LN00161,30467,24,112024,648,6,Approved,2012-10-17
LN00162,30723,36,175194,762,10,Approved,2010-04-02
LN00163,47699,12,192296,803,22,Approved,2022-11-03
LN00164,4627,48,157403,450,12,Approved,2020-08-27
LN00165,26939,36,131411,545,9,Approved,2015-11-17
LN00166,49925,12,62262,409,14,Approved,2021-03-17
LN00167,43941,60,136214,574,20,Approved,2017-01-01
LN00168,22834,24,126435,366,6,Approved,2014-05-08
LN00169,19047,12,106314,349,27,Approved,2015-02-20
LN00170,27105,24,184998,814,5,Approved,2020-01-12
LN00171,11230,60,106287,525,24,Approved,2020-08-31
LN00172,16707,12,139318,805,11,Default,2023-11-30
LN00173,22976,48,150134,454,2,Approved,2023-11-13
LN00174,45262,36,144958,779,15,Approved,2019-05-08
LN00175,24776,12,37528,410,19,Approved,2012-08-19
LN00176,31080,60,20068,782,8,Approved,2021-11-20
LN00177,2306,12,89253,573,9,Approved,2017-10-19
LN00178,7776,24,100754,454,29,Approved,2019-09-14
LN00179,28251,12,195040,466,12,Approved,2021-12-23
LN00180,10474,48,110938,318,7,Approved,2017-09-22
LN00181,41294,12,199695,644,25,Approved,2012-05-02
LN00182,22959,36,62129,593,5,Default,2019-10-22
LN00183,6530,12,133996,761,27,Approved,2022-05-24
LN00184,30320,24,81321,637,2,Default,2016-10-25
LN00185,4748,12,31526,751,11,Approved,2024-09-24
LN00186,32968,48,177781,643,8,Approved,2020-06-28
LN00187,33562,60,127535,384,8,Default,2024-09-18
LN00188,14545,12,35063,688,10,Approved,2019-09-03
LN00189,1663,12,155795,526,5,Default,2016-05-01
LN00190,35766,36,24213,585,1,Approved,2016-10-28
LN00191,8994,48,42797,583,6,Approved,2016-03-20
LN00192,29021,60,104946,408,8,Approved,2023-06-04
LN00193,31303,24,108918,434,24,Approved,2010-09-26
LN00194,4304,12,196289,590,18,Approved,2017-05-22
LN00195,47576,60,43655,807,17,Approved,2019-04-26
LN00196,40353,24,163659,328,11,Default,2021-03-01
LN00197,18675,48,42555,693,20,Approved,2024-06-30
LN00198,45417,48,48071,326,10,Approved,2011-03-09
LN00199,24938,60,40239,766,9,Approved,2012-03-13
LN00200,24664,24,143441,312,28,Approved,2023-10-06
LN00201,2636,48,117138,744,22,Approved,2023-09-05
LN00202,21080,60,69151,523,2,Approved,2013-07-27
LN00203,28728,48,22203,762,11,Approved,2024-04-10
LN00204,27736,48,164707,320,3,Approved,2018-01-07
LN00205,29673,48,152216,686,9,Approved,2024-07-30
LN00206,38505,36,183771,625,1,Approved,2022-10-08
LN00207,48323,24,111663,766,11,Default,2012-01-13
LN00208,47645,60,149844,821,27,Default,2011-11-14
LN00209,1854,60,32213,524,10,Approved,2018-05-17
LN00210,25548,24,36944,774,13,Approved,2015-01-24
LN00211,39623,24,86723,757,14,Approved,2013-07-25
LN00212,8392,24,88947,512,13,Approved,2014-12-01
LN00213,47717,24,185529,780,25,Default,2012-06-14
LN00214,22556,12,55191,479,28,Approved,2023-10-07
LN00215,39559,60,92264,837,11,Approved,2011-04-26
LN00216,27309,12,184816,826,28,Approved,2021-01-20
LN00217,22919,48,183958,321,1,Default,2010-10-18
LN00218,5931,48,119846,644,22,Approved,2017-05-18
LN00219,33970,60,139550,320,1,Approved,2020-06-07
LN00220,45215,48,104963,707,0,Approved,2015-05-29
LN00221,13688,24,20972,786,19,Approved,2020-12-28
LN00222,26342,12,119219,827,14,Approved,2010-07-09
LN00223,38157,24,157693,715,29,Approved,2024-07-20
LN00224,3327,48,69738,571,21,Approved,2011-01-12
LN00225,41772,12,74777,504,9,Default,2024-01-25
LN00226,41545,24,34530,597,25,Default,2010-09-16
LN00227,1197,60,158426,407,19,Approved,2012-04-06
LN00228,24509,24,66529,451,0,Approved,2016-08-16
LN00229,35698,48,122895,312,0,Default,2015-01-05
LN00230,45542,12,71714,378,24,Approved,2018-04-05
LN00231,16087,60,144750,468,0,Approved,2015-11-23
LN00232,23671,12,192304,548,22,Default,2013-12-20
LN00233,26184,60,140883,420,10,Approved,2018-01-03
LN00234,28848,12,163622,686,27,Approved,2019-02-15
LN00235,43107,48,108196,738,27,Approved,2018-07-15
LN00236,21666,60,80385,571,11,Approved,2022-12-23
LN00237,45357,36,84736,599,14,Approved,2019-11-07
LN00238,16708,12,50268,772,13,Approved,2016-05-03
LN00239,27370,12,155362,457,22,Approved,2023-10-31
LN00240,3811,24,50138,526,0,Approved,2014-04-07
LN00241,48011,60,144650,720,0,Approved,2014-09-13
LN00242,7546,36,33432,323,5,Approved,2019-06-30
LN00243,35754,48,87058,837,23,Approved,2013-03-18
LN00244,31206,24,78175,839,22,Default,2016-05-16
LN00245,42106,36,53329,427,21,Approved,2022-08-26
LN00246,12411,60,163400,393,25,Approved,2017-12-21
LN00247,3911,36,185319,720,2,Default,2024-10-15
LN00248,2734,12,26677,571,13,Approved,2014-02-16
LN00249,19227,12,70357,783,27,Approved,2015-05-19
LN00250,9680,24,75812,304,26,Default,2023-05-26
LN00251,20360,60,61616,456,22,Approved,2018-08-02
LN00252,19343,60,65534,351,5,Approved,2022-05-15
LN00253,6759,36,84162,542,7,Default,2020-03-18
LN00254,24078,24,64711,719,19,Default,2012-06-23
LN00255,36153,60,173877,724,24,Approved,2023-03-15
LN00256,12111,12,115980,379,14,Default,2018-10-05
LN00257,38504,36,40143,653,16,Approved,2016-05-30
LN00258,2802,48,128380,592,27,Approved,2024-06-04
LN00259,9155,12,167089,415,28,Default,2019-04-22
LN00260,9120,24,61423,828,22,Approved,2024-05-26
LN00261,40384,60,61713,779,8,Approved,2017-10-22
LN00262,48025,12,94310,587,15,Approved,2013-02-19
LN00263,48254,48,22205,776,25,Approved,2019-11-04
LN00264,22918,48,73266,324,29,Approved,2011-01-19
LN00265,21445,24,163414,730,0,Default,2015-06-10
LN00266,31306,12,101863,577,25,Approved,2016-05-19
LN00267,17646,36,172272,616,15,Approved,2017-09-12
LN00268,47843,12,158260,657,18,Approved,2012-08-24
LN00269,32065,48,146233,575,22,Approved,2023-07-09
LN00270,26199,24,22808,643,8,Approved,2011-09-11
LN00271,42976,24,33851,730,29,Approved,2012-10-16
LN00272,17371,36,150982,738,16,Approved,2015-05-08
LN00273,12835,24,166130,761,5,Approved,2021-01-27
LN00274,46936,24,34620,569,26,Approved,2010-07-25
LN00275,3049,24,82995,730,13,Approved,2020-05-20
LN00276,32616,24,56681,320,17,Approved,2011-10-01
LN00277,39191,24,84509,442,20,Approved,2019-11-27
LN00278,48357,48,87703,652,13,Approved,2010-03-05
LN00279,21932,12,62136,764,22,Approved,2018-06-16
LN00280,30855,60,113699,767,29,Approved,2020-06-29
LN00281,8158,24,108456,812,6,Approved,2018-09-12
LN00282,44016,60,103086,763,9,Approved,2020-10-03
LN00283,8400,60,187415,693,15,Approved,2020-02-09
LN00284,43642,48,137529,357,6,Approved,2020-06-02
LN00285,16151,24,38254,425,27,Approved,2021-11-02
LN00286,2154,60,81273,760,19,Approved,2023-02-19
LN00287,5499,24,137574,351,27,Default,2021-01-06
LN00288,7295,36,134847,568,5,Approved,2011-01-30
LN00289,13183,36,125547,395,26,Approved,2013-05-21
LN00290,30299,36,32926,572,25,Approved,2017-08-12
LN00291,13874,60,109527,622,5,Approved,2015-02-03
LN00292,33711,36,127387,432,6,Approved,2012-10-17
LN00293,6539,48,47563,388,24,Approved,2019-07-05
LN00294,43405,48,181760,304,21,Approved,2022-09-23
LN00295,49354,60,185202,656,27,Approved,2024-09-23
LN00296,3557,24,20925,642,25,Approved,2017-08-01
LN00297,39360,12,71595,503,16,Approved,2010-11-29
LN00298,17482,24,150249,770,7,Approved,2022-02-12
LN00299,3200,24,36321,763,1,Approved,2018-02-05
LN00300,47940,24,161841,796,18,Approved,2013-07-12
LN00301,3961,24,187820,362,27,Approved,2016-01-28
LN00302,47975,12,191100,538,20,Approved,2015-08-11
LN00303,22357,36,36151,839,21,Approved,2012-05-25
LN00304,12969,24,96133,497,6,Approved,2017-12-18
LN00305,3869,48,54187,329,11,Approved,2016-04-07
LN00306,47760,60,63835,508,19,Approved,2022-10-24
LN00307,29643,60,20059,362,2,Approved,2020-07-23
LN00308,25736,48,47235,356,24,Default,2021-02-04
LN00309,39467,24,114208,732,3,Default,2022-11-10
LN00310,24328,12,87114,607,24,Approved,2024-11-17
LN00311,26876,36,196438,765,24,Approved,2015-12-29
LN00312,22295,60,149191,406,10,Approved,2019-04-28
LN00313,4987,36,132831,600,11,Default,2023-02-04
LN00314,23399,12,141889,345,29,Approved,2022-04-14
LN00315,47214,60,101583,376,18,Approved,2012-12-14
LN00316,34986,36,52160,468,18,Approved,2022-07-22
LN00317,21880,12,119011,428,28,Approved,2013-09-17
LN00318,5735,36,25277,567,29,Approved,2010-09-27
LN00319,45064,24,152852,718,10,Default,2022-03-16
LN00320,5555,12,197651,460,12,Approved,2021-08-11
LN00321,42914,36,137101,357,23,Approved,2011-08-12
LN00322,41818,24,80750,683,0,Approved,2013-02-26
LN00323,46525,24,76902,809,5,Approved,2011-01-10
LN00324,20830,12,136849,729,21,Approved,2014-07-05
LN00325,18429,48,117052,639,24,Approved,2018-05-31
LN00326,7893,60,147894,325,15,Approved,2019-06-01
LN00327,15373,12,183233,671,1,Approved,2017-01-29
LN00328,48333,24,195571,335,13,Approved,2014-07-10
LN00329,4436,24,182958,830,23,Default,2024-06-29
LN00330,9754,12,159872,566,22,Approved,2018-07-03
LN00331,11677,48,69460,731,17,Approved,2022-01-31
LN00332,6895,60,149424,318,16,Approved,2020-06-12
LN00333,20738,36,90975,638,19,Approved,2022-10-25
LN00334,31746,12,153436,439,17,Approved,2017-02-23
LN00335,49404,60,36568,366,18,Approved,2018-12-27
LN00336,33352,60,189164,829,29,Approved,2014-10-17
LN00337,40790,24,82679,668,14,Approved,2017-02-13
LN00338,42919,36,85781,560,1,Approved,2022-01-24
LN00339,6600,12,28430,502,29,Approved,2018-02-19
LN00340,30124,24,58692,709,24,Default,2021-06-21
LN00341,28643,24,50086,379,3,Approved,2021-09-24
LN00342,41764,48,69671,412,0,Approved,2022-12-26
LN00343,10007,60,164973,436,7,Default,2014-10-08
LN00344,46714,12,23907,488,19,Approved,2019-10-26
LN00345,38410,12,48604,576,13,Approved,2014-02-23
LN00346,45080,12,57869,402,25,Approved,2020-06-21
LN00347,41447,24,165609,406,10,Default,2020-07-08
LN00348,9208,48,163573,472,26,Approved,2023-11-16
LN00349,19589,36,139261,630,23,Approved,2021-06-21
LN00350,44484,24,188443,490,23,Approved,2016-06-19
LN00351,18453,36,134639,524,24,Approved,2015-05-21
LN00352,37212,48,131690,622,13,Approved,2019-12-24
LN00353,44525,60,187893,807,27,Approved,2010-12-26
LN00354,48202,12,145592,847,15,Approved,2012-09-08
LN00355,33635,36,26073,433,9,Approved,2014-12-15
LN00356,34828,24,38101,336,6,Approved,2022-04-21
LN00357,19711,36,182498,392,15,Default,2022-09-07
LN00358,4420,60,114877,374,3,Approved,2011-01-29
LN00359,32216,12,27313,482,11,Approved,2013-10-11
LN00360,1301,36,181845,758,11,Approved,2010-02-17
LN00361,46236,60,179075,708,29,Approved,2013-12-26
LN00362,1699,24,79668,506,1,Approved,2017-07-11
LN00363,1190,48,111956,544,5,Default,2015-10-02
LN00364,11492,24,135087,632,19,Approved,2016-04-07
LN00365,36743,12,139451,824,14,Approved,2018-07-28
LN00366,7102,24,112675,593,14,Approved,2013-04-24
LN00367,20778,24,111634,572,21,Approved,2013-03-10
LN00368,27641,24,193366,678,15,Approved,2023-11-05
LN00369,35584,24,164654,325,23,Approved,2015-07-16
LN00370,33745,12,129119,843,2,Default,2012-12-16
LN00371,24093,60,164832,390,0,Approved,2022-06-12
LN00372,1569,36,91791,775,20,Approved,2024-04-22
LN00373,39210,48,102158,487,11,Approved,2019-09-10
LN00374,35663,36,187055,494,14,Approved,2022-05-26
LN00375,37631,36,191381,833,18,Approved,2014-08-31
LN00376,46681,48,49715,384,5,Approved,2023-07-14
LN00377,8455,12,187487,376,18,Approved,2019-05-05
LN00378,5014,48,108260,629,16,Approved,2014-03-18
LN00379,12093,12,154724,682,8,Approved,2016-02-08
LN00380,19070,36,46297,732,20,Approved,2013-08-18
LN00381,36777,12,165100,676,12,Approved,2010-07-02
LN00382,17538,60,164875,640,14,Approved,2021-01-10
LN00383,11729,48,26307,476,15,Approved,2014-03-14
LN00384,35177,60,182397,725,12,Approved,2024-04-11
LN00385,46017,36,78616,723,1,Approved,2019-07-18
LN00386,1784,48,182646,473,1,Approved,2010-06-05
LN00387,28751,36,139828,705,10,Approved,2015-11-15
LN00388,41864,60,166004,381,29,Approved,2023-10-12
LN00389,41328,36,166821,320,24,Approved,2013-10-24
LN00390,13533,48,28727,697,27,Approved,2023-05-17
LN00391,41111,48,37332,629,15,Approved,2024-11-03
LN00392,40974,36,161906,524,16,Approved,2012-05-07
LN00393,6801,48,171397,701,25,Default,2021-09-17
LN00394,20190,48,160285,737,2,Default,2024-06-10
LN00395,39754,36,133741,571,27,Approved,2020-12-21
LN00396,30592,60,152475,579,28,Approved,2023-04-21
LN00397,11647,48,76971,522,28,Approved,2018-02-27
LN00398,9716,48,93042,808,25,Approved,2022-10-23
LN00399,24355,48,115195,641,26,Approved,2020-01-16
LN00400,23009,48,158663,341,22,Default,2023-08-17
LN00401,25376,36,147144,475,29,Default,2022-01-21
LN00402,46091,60,32996,544,0,Approved,2014-08-27
LN00403,5780,60,72485,552,17,Approved,2019-11-26
LN00404,3368,12,67830,573,13,Approved,2015-10-02
LN00405,13039,48,54370,633,21,Approved,2016-03-13
LN00406,7655,48,77572,310,8,Approved,2011-12-15
LN00407,41941,12,49098,451,27,Approved,2015-09-17
LN00408,5495,60,22196,488,8,Approved,2013-12-22
LN00409,11893,24,162163,510,11,Approved,2013-10-29
LN00410,26547,24,69262,396,23,Approved,2023-05-28
LN00411,23386,60,157095,638,29,Approved,2011-03-01
LN00412,14403,48,40543,346,2,Default,2012-10-25
LN00413,33097,24,122171,356,1,Approved,2011-11-22
LN00414,14121,36,193409,374,0,Approved,2020-12-24
LN00415,11966,36,191481,553,26,Approved,2019-10-20
LN00416,34621,12,90540,469,26,Approved,2017-09-28
LN00417,29312,60,161035,445,8,Approved,2019-08-26
LN00418,23677,60,164868,332,12,Approved,2010-07-19
LN00419,32289,24,60972,814,29,Approved,2024-10-06
LN00420,32024,48,92613,556,20,Approved,2012-02-15
LN00421,43675,60,115384,425,27,Default,2010-08-14
LN00422,5777,24,98062,412,15,Approved,2022-07-03
LN00423,30749,24,23261,641,18,Approved,2015-08-28
LN00424,16338,60,37046,347,9,Approved,2014-11-14
LN00425,3491,24,33397,663,25,Approved,2011-09-21
LN00426,28236,12,110805,697,26,Approved,2015-08-20
LN00427,49096,12,45757,494,4,Approved,2010-02-10
LN00428,15599,60,166371,620,13,Approved,2015-09-23
LN00429,20508,48,152974,437,26,Approved,2016-02-23
LN00430,4051,12,138859,654,14,Approved,2010-10-26
LN00431,49747,12,62399,369,27,Approved,2021-10-14
LN00432,22606,60,68330,782,2,Approved,2011-04-04
LN00433,22699,36,197380,358,8,Approved,2012-05-28
LN00434,1876,24,154918,688,28,Approved,2014-12-16
LN00435,33093,12,163431,650,0,Approved,2012-02-28
LN00436,5142,36,88056,638,0,Approved,2020-08-31
LN00437,16202,48,60832,735,18,Default,2011-01-18
LN00438,40734,36,171170,749,5,Approved,2013-12-21
LN00439,8079,60,137095,676,10,Approved,2019-05-09
LN00440,8987,48,124987,690,29,Approved,2024-09-17
LN00441,40567,48,108672,780,17,Approved,2017-02-08
LN00442,29940,36,55885,413,13,Approved,2022-08-08
LN00443,38233,60,41157,471,15,Approved,2019-10-30
LN00444,18019,12,199444,317,0,Approved,2010-11-26
LN00445,47185,36,39674,534,23,Default,2018-05-13
LN00446,19077,12,52357,609,26,Approved,2016-12-10
LN00447,27258,36,32578,580,9,Approved,2023-06-11
LN00448,22136,12,148457,495,24,Default,2012-10-16
LN00449,9311,36,153323,414,9,Approved,2019-08-10
LN00450,18214,48,188501,696,12,Approved,2024-01-06
LN00451,15098,24,197943,717,27,Approved,2024-06-17
LN00452,29251,48,176571,583,0,Approved,2020-06-18
LN00453,38945,12,157493,627,2,Approved,2022-05-27
LN00454,48030,60,175663,640,13,Approved,2015-01-02
LN00455,26945,48,123229,520,20,Default,2021-04-04
LN00456,26316,24,163274,308,15,Approved,2011-09-12
LN00457,33217,12,143981,381,22,Approved,2011-11-20
LN00458,9308,48,170362,593,25,Approved,2015-10-14
LN00459,6949,36,169202,674,19,Approved,2022-10-15
LN00460,2150,60,57077,833,5,Approved,2012-03-30
LN00461,24944,12,135136,714,0,Approved,2016-03-01
LN00462,35699,48,170468,398,19,Approved,2016-04-20
LN00463,10204,12,80530,681,23,Approved,2019-12-23
LN00464,2081,36,138179,803,4,Approved,2017-04-14
LN00465,30305,24,47122,746,7,Approved,2016-02-21
LN00466,17896,48,49381,643,11,Default,2016-04-17
LN00467,47175,12,196507,724,0,Approved,2019-09-25
LN00468,8805,12,125614,605,12,Default,2012-08-12
LN00469,6237,12,174339,447,25,Approved,2020-10-16
LN00470,21056,24,133271,753,8,Default,2024-07-06
LN00471,46543,12,158160,332,19,Approved,2023-01-01
LN00472,46952,60,117354,800,24,Approved,2021-12-19
LN00473,4343,60,147728,618,23,Approved,2013-06-01
LN00474,14500,12,32822,492,7,Approved,2022-09-09
LN00475,30375,60,187661,479,12,Approved,2013-06-27
LN00476,10662,48,152508,817,27,Approved,2010-01-13
LN00477,17964,60,131201,690,1,Approved,2022-11-19
LN00478,48893,12,47281,820,14,Approved,2016-02-18
LN00479,9130,36,108017,656,13,Approved,2011-11-29
LN00480,20531,48,116005,763,18,Approved,2015-08-29
LN00481,2679,24,104403,398,25,Default,2016-07-14
LN00482,4506,12,126023,447,8,Approved,2022-10-19
LN00483,14284,24,42766,615,18,Approved,2015-09-05
LN00484,8253,36,172285,481,29,Approved,2018-06-05
LN00485,20128,24,113891,846,13,Approved,2018-10-18
LN00486,28932,12,82239,602,7,Approved,2020-06-10
LN00487,10435,12,173609,303,4,Approved,2012-11-16
LN00488,45078,36,153866,406,29,Approved,2015-11-23
LN00489,14296,12,183396,374,6,Default,2020-10-02
LN00490,31445,36,76764,339,3,Default,2017-10-02
LN00491,14245,36,50858,418,7,Default,2016-06-08
LN00492,30124,12,62850,372,3,Approved,2024-01-19
LN00493,30899,60,164090,503,20,Approved,2018-08-15
LN00494,44919,36,147171,395,29,Approved,2018-06-17
LN00495,44225,12,103017,578,0,Approved,2019-12-21
LN00496,36247,60,70790,442,25,Approved,2017-05-13
LN00497,30222,36,101120,414,7,Approved,2010-06-23
LN00498,27211,60,29850,775,6,Approved,2013-11-25
